difficulte;type_exercice;score;temps_passe;reussite
3;1;15;45;1
4;2;8;78;0
2;3;18;32;1
5;1;6;120;0
3;2;13;65;1
4;1;10;95;0
1;4;19;40;1
5;3;5;145;0
2;3;14;55;1
4;4;11;82;0
3;1;17;30;1
5;2;7;135;0
1;4;16;50;1
4;3;9;110;0
2;1;20;38;1
5;4;4;150;0
3;1;12;75;1
4;2;15;60;1
5;3;8;130;0
2;4;18;35;1
4;1;10;92;0
3;2;16;48;1
5;4;6;140;0
1;4;19;33;1
4;3;12;70;0
2;1;15;58;1
5;2;7;125;0
3;4;18;28;1
5;1;9;85;0
2;2;14;52;1
4;1;11;88;1
3;2;13;72;0
5;3;16;45;1
1;4;20;30;1
4;4;7;120;0
2;1;15;55;1
5;2;10;90;0
3;3;18;35;1
4;1;6;135;0
1;2;19;40;1
5;4;8;110;0
2;3;14;65;1
4;2;17;42;1
3;1;9;95;0
5;4;5;145;0
1;3;16;50;1
4;1;12;75;1
2;4;15;60;1
5;2;7;130;0
3;1;18;32;1
4;3;10;88;0
1;4;19;38;1
5;2;6;140;0
2;1;14;58;1
4;4;16;48;1
3;2;8;95;0
5;3;17;35;1
1;1;20;28;1
4;3;11;85;0
2;4;13;72;1
5;1;9;120;0
3;2;15;55;1
4;1;18;40;1
1;3;7;130;0
5;4;14;65;1
2;2;16;50;1
4;4;5;145;0
3;1;12;75;1
5;2;19;32;1
1;4;8;110;0
4;3;17;42;1
2;1;10;88;0
5;4;15;58;1
3;2;6;135;0
4;1;18;35;1
1;3;13;70;0
5;4;16;48;1
2;2;9;95;0
4;3;14;65;1
3;1;20;30;1
5;2;7;125;0
1;4;11;80;1
4;1;17;45;1
2;3;5;140;0
5;4;12;72;1
3;2;15;55;1
4;4;8;110;0
1;1;19;35;1
5;3;10;90;0
2;4;13;68;1
4;2;16;50;1
3;1;7;130;0
5;4;18;38;1
1;3;14;60;1
4;1;9;100;0
2;2;17;42;1
5;4;6;140;0
3;1;15;55;1
4;3;20;28;1
1;2;8;115;0
5;4;11;85;1
2;1;18;40;1
4;4;12;75;0
3;2;5;145;1
5;3;16;48;1
1;4;10;90;0
4;1;14;65;1
2;3;19;32;1
5;2;7;130;0
3;4;13;70;1
4;1;17;45;1
1;2;6;135;0
5;4;15;55;1
2;4;9;95;0
3;1;18;38;1
4;3;11;80;0
5;4;14;68;1
1;1;20;30;1
4;2;8;120;0
2;3;16;50;1
5;1;10;90;1
3;4;12;75;0
4;4;19;35;1
1;3;7;130;0
5;2;15;58;1
2;1;13;65;1
4;4;6;140;0
3;2;18;40;1
5;3;9;110;0
1;4;16;48;1
4;1;11;85;1
2;4;14;70;0
5;4;17;45;1
3;1;5;145;0
4;2;19;32;1
1;3;12;75;0
5;4;8;120;1
2;1;15;55;1
4;3;10;90;0
3;4;18;38;1
5;2;7;135;0
1;4;13;68;1
4;1;16;50;1
2;3;6;140;0
5;4;14;65;1
3;2;20;28;1
4;4;9;100;0
1;1;17;42;1
5;3;11;85;0
2;4;15;58;1
4;2;5;150;0
3;1;18;35;1
5;4;12;75;0
1;2;8;115;1
4;3;16;48;1
2;1;14;65;0
5;4;19;32;1
3;2;7;130;0
1;4;10;90;1
4;1;17;42;1
5;3;13;70;0
2;4;15;55;1
3;1;6;140;0
4;2;18;38;1
5;4;11;85;1
1;3;9;110;0
4;1;14;65;1
2;4;20;30;1
5;2;8;120;0
3;1;16;48;1
4;3;12;75;0
1;2;5;145;1
5;4;17;45;1
2;1;13;68;0
4;4;15;58;1
3;2;10;95;0
5;3;18;35;1
1;4;7;130;0
4;1;19;40;1
2;3;14;65;1
5;4;6;140;0
3;2;16;50;1
4;1;11;85;0
1;4;20;28;1
5;3;9;115;0
2;1;15;55;1
4;4;12;75;0
3;2;8;120;1
5;4;18;38;1
1;3;14;65;0
4;1;17;42;1
2;4;10;90;0
5;2;16;48;1
3;1;5;148;0
4;3;19;32;1
1;4;13;68;0
5;1;15;55;1
2;4;7;135;0
4;2;18;38;1
3;3;11;85;0
5;4;14;65;1
1;2;20;30;1
4;1;9;110;0
2;3;16;48;1
5;4;12;75;0
3;2;6;140;1
4;4;17;45;1
1;3;10;95;0
5;1;19;35;1
2;4;8;120;0
4;2;15;58;1
3;4;13;70;0
5;3;18;40;1
1;1;7;130;0
4;4;14;65;1
2;2;16;50;1
5;4;11;85;0
3;1;20;28;1
4;3;9;115;0
1;4;17;42;1
5;2;12;75;0
2;1;5;145;1
4;4;15;55;1
3;2;18;38;0
5;3;10;90;1
1;4;13;68;0
4;1;19;32;1
2;4;8;125;0
3;1;14;65;1
5;2;16;48;0
4;3;6;140;1
1;2;17;42;0
5;4;11;85;1
2;1;20;30;0
4;4;9;110;1
3;2;15;55;0
5;1;12;75;1
1;3;7;135;0
4;4;18;38;1
2;4;14;65;0
3;1;16;50;1
5;2;10;90;0
4;3;19;35;1
1;4;8;120;0
5;1;13;70;1
2;2;17;42;0
4;4;5;145;1
3;2;15;58;0
5;3;11;85;1
1;4;20;28;0
4;1;9;115;1
2;3;14;65;0
5;4;16;48;1
3;2;6;140;0
4;1;18;38;1
1;4;12;75;0
5;3;10;90;1
2;1;19;32;0
4;4;8;125;1
3;2;15;55;0
5;1;13;68;1
1;4;7;130;0
4;3;17;42;1
2;4;14;65;0
5;2;20;30;1
3;4;9;110;0
1;1;16;48;1
4;2;11;85;0
5;4;18;35;1
3;1;12;75;0
2;4;5;148;1
4;3;15;58;0
5;2;19;38;1
1;4;8;120;0
3;3;14;65;1
4;1;17;42;0
5;4;10;90;1
2;4;13;70;0
1;2;20;28;1
5;1;6;140;0
3;4;16;48;1
4;3;11;85;0
2;1;18;35;1
5;4;9;115;0
1;3;15;55;1
4;2;12;75;0
5;4;7;130;1
3;1;19;32;0
2;4;14;65;1
4;3;16;50;0
5;2;8;120;1
1;4;17;42;0
3;1;10;90;1
4;4;13;70;0
5;3;20;28;1
2;1;5;145;0
4;2;15;58;1
3;4;18;38;0
5;1;11;85;1
1;4;9;110;0
4;3;14;65;1
2;4;19;32;0
5;2;6;140;1
3;1;16;48;0
4;4;12;75;1
1;3;8;125;0
5;1;17;42;1
2;4;15;55;0
4;2;10;90;1
3;1;13;68;0
5;4;20;30;1
1;4;7;135;0
4;3;18;35;1
2;4;14;65;0
5;2;9;115;1
3;4;16;50;0
1;1;12;75;1
5;3;11;85;0
4;4;19;32;1
2;1;5;148;0
3;2;15;58;1
5;4;8;120;0
1;3;17;42;1
4;2;13;70;0
5;4;10;90;1
2;4;18;35;0
3;1;14;65;1
4;4;6;140;0
1;2;20;28;1
5;3;16;48;0
3;4;9;110;1
2;1;15;55;0
4;3;19;38;1
5;1;7;130;0
